"Value Set HCProfessional.hcProfessionSpecialisationMap - 2.16.756.5.30.1.127.3.10.8.3 2023-05-22T16:57:04";;;;;;;;
Level;Type;Code;DisplayName;CodeSystem;CodeSystemName;CodeSystemVersion;Flexibility;Exception
0;L;46255001;"Pharmacist (occupation)";2.16.840.1.113883.6.96;"SNOMED CT";;;false;
1;L;1052;"Community pharmacy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1053;"Hospital pharmacy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
0;L;309343006;"Physician (occupation)";2.16.840.1.113883.6.96;"SNOMED CT";;;false;
1;L;1002;Surgery;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1003;"Gynaecology and obstetrics";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1004;"Cardiac and thoracic vascular surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1006;Paediatrics;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1007;Ophthalmology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1008;Otorhinolaryngology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1009;Pathology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1012;Anaesthesiology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1013;Neurosurgery;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1014;Neurology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1015;"Orthopaedic surgery and traumatology of the locomotor apparatus";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1016;Pneumology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1017;"Psychiatry and psychotherapy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1018;Urology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1019;"Allergology and clinical immunology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1020;"Occupational medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1021;"Dermatology and venereology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1022;"Endocrinology â€“ Diabetology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1023;Gastroenterology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1024;Haematology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1025;Cardiology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1026;"Oral and maxillofacial surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1027;"Child and adolescent psychiatry and psychotherapy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1028;"Paediatric surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1029;"Clinical pharmacology and toxicology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1030;Radiology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1031;"Nuclear medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1032;"Radio-oncology / radiotherapy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1033;Nephrology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1034;"Physical medicine and rehabilitation";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1035;"Plastic, reconstructive and aesthetic surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1036;"Prevention and public health";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1037;Rheumatology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1038;"Tropical and travel medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1039;Infectology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1040;"General medical practitioner";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1041;Angiology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1042;"Intensive care medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1043;"Medical genetics";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1044;"Medical oncology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1045;"Pharmaceutical medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1046;"Forensic medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1051;"General internal medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1059;"Hand surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1060;"Vascular surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1061;"Thoracic surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
0;L;3842006;"Chiropractor (occupation)";2.16.840.1.113883.6.96;"SNOMED CT";;;false;
1;L;1011;"Chiropractic specialist";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
0;L;59944000;"Psychologist (occupation)";2.16.840.1.113883.6.96;"SNOMED CT";;;false;
1;L;1054;Psychotherapy;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1055;"Child and adolescent psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1056;"Clinical psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1057;Neuropsychology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1058;"Health psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
0;L;106289002;"Dentist (occupation)";2.16.840.1.113883.6.96;"SNOMED CT";;;false;
1;L;1010;Orthodontics;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1047;"Oral surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1048;Paradontology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
1;L;1049;"Reconstructive dentistry";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;
